id,timestamp,quantity
product_A,2023-01-01,120
product_A,2023-01-02,125
product_A,2023-01-03,122
product_A,2023-01-04,130
product_A,2023-01-05,135
product_A,2023-01-06,140
product_A,2023-01-07,145
product_A,2023-01-08,138
product_A,2023-01-09,142
product_A,2023-01-10,148
product_A,2023-01-11,155
product_A,2023-01-12,160
product_A,2023-01-13,158
product_A,2023-01-14,165
product_A,2023-01-15,170
product_A,2023-01-16,168
product_A,2023-01-17,175
product_A,2023-01-18,180
product_A,2023-01-19,178
product_A,2023-01-20,185
product_A,2023-01-21,190
product_A,2023-01-22,188
product_A,2023-01-23,195
product_A,2023-01-24,200
product_A,2023-01-25,198
product_A,2023-01-26,205
product_A,2023-01-27,210
product_A,2023-01-28,208
product_A,2023-01-29,215
product_A,2023-01-30,220
product_B,2023-01-01,200
product_B,2023-01-02,195
product_B,2023-01-03,205
product_B,2023-01-04,210
product_B,2023-01-05,208
product_B,2023-01-06,215
product_B,2023-01-07,220
product_B,2023-01-08,218
product_B,2023-01-09,225
product_B,2023-01-10,230
product_B,2023-01-11,228
product_B,2023-01-12,235
product_B,2023-01-13,240
product_B,2023-01-14,238
product_B,2023-01-15,245
product_B,2023-01-16,250
product_B,2023-01-17,248
product_B,2023-01-18,255
product_B,2023-01-19,260
product_B,2023-01-20,258
product_B,2023-01-21,265
product_B,2023-01-22,270
product_B,2023-01-23,268
product_B,2023-01-24,275
product_B,2023-01-25,280
product_B,2023-01-26,278
product_B,2023-01-27,285
product_B,2023-01-28,290
product_B,2023-01-29,288
product_B,2023-01-30,295
product_C,2023-01-01,80
product_C,2023-01-02,82
product_C,2023-01-03,85
product_C,2023-01-04,88
product_C,2023-01-05,90
product_C,2023-01-06,92
product_C,2023-01-07,95
product_C,2023-01-08,93
product_C,2023-01-09,98
product_C,2023-01-10,100
product_C,2023-01-11,102
product_C,2023-01-12,105
product_C,2023-01-13,108
product_C,2023-01-14,110
product_C,2023-01-15,112
product_C,2023-01-16,115
product_C,2023-01-17,118
product_C,2023-01-18,120
product_C,2023-01-19,122
product_C,2023-01-20,125
product_C,2023-01-21,128
product_C,2023-01-22,130
product_C,2023-01-23,132
product_C,2023-01-24,135
product_C,2023-01-25,138
product_C,2023-01-26,140
product_C,2023-01-27,142
product_C,2023-01-28,145
product_C,2023-01-29,148
product_C,2023-01-30,150
